duration_in_seconds	recorded_date	participant_id	working_home_time	now_before_eff	now_later_eff	home_office_aspect_1	home_office_aspect_2	home_office_aspect_3	home_office_aspect_4	home_office_aspect_5	home_office_aspect_6	home_office_aspect_7	home_office_aspect_8	home_office_aspect_9	home_office_aspect_10	home_office_aspect_11	home_office_aspect_12	home_office_aspect_13	home_office_aspect_14	home_office_aspect_15	prior_home_prop_1	future_home_prop_1	feasible	position	area_of_research	wokrplace_type	data_coll_remote	gender	age	edu_duties	team_work	office_setup	living_sit	partner_work	work_home_dist	children_2	children_23	children_24	children_25	children_26	children_27	homeschool	childcare_help	need_from_org_1	need_from_org_4	need_from_org_7	need_from_org_9	need_from_org_10	need_from_org_11	number_of_children	future_prior_diff
125	2020-04-27 15:15:12	R_3PmYtAuUgGLKqnL	Yes	less efficient	less efficient	6	6	6	4	4	4	6	6	6	6	7	7	4	5	5	100	15	Yes	full professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Male	45 - 54	Yes	Yes	Underequipped	Living with partner and non-adult child(ren)	No	30-60 min	0	0	0	1	3	0	Yes	Yes	NA	Better computer facilities	NA	NA	NA	NA	4	-85
267	2020-04-27 15:16:54	R_VJTGwSFmrzO39Vn	Yes	less efficient	similarly efficient	1	1	5	6	5	5	1	4	5	6	4	4	3	5	5	5	25	Yes	full professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Female	45 - 54	Yes	Yes	Fully equipped	Living with partner and non-adult child(ren)	Yes	30-60 min	0	0	0	0	2	0	Yes	Yes	Better communication	NA	NA	NA	NA	NA	2	20
297	2020-04-27 15:19:52	R_wRG2rGxXg7jexiN	Yes	similarly efficient	similarly efficient	4	4	4	4	6	4	4	4	4	7	6	1	1	4	5	60	95	Yes	associate professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Male	35 - 44	Yes	Yes	Fully equipped	Living with partner and non-adult child(ren)	No	<30 min	0	1	1	1	0	0	Yes	Yes	NA	Better computer facilities	NA	NA	NA	Other	3	35
231	2020-04-27 15:19:54	R_2fBPHI0dggc6Hf2	Yes	less efficient	less efficient	6	4	5	6	6	6	3	3	2	7	5	7	7	7	4	20	25	Yes	full professor	Other	Research and educational institute	Yes (including if someone else does it for me)	Male	45 - 54	Yes	Yes	Fully equipped	Living with partner and non-adult child(ren)	Yes	<30 min	0	0	0	0	1	1	Yes	No	NA	Better computer facilities	NA	NA	Administrative flexibility during lockdowns	NA	2	5
273	2020-04-27 15:19:56	R_2919s6MwNOrIv9s	Yes	less efficient	less efficient	7	7	7	7	7	7	3	3	3	7	7	4	7	7	7	5	10	No	assistant professor	Other	Research and educational institute	No	Female	35 - 44	Yes	Yes	Underequipped	Living with partner and non-adult child(ren)	Yes	<30 min	0	0	0	1	0	0	Yes	No	NA	NA	Support for problems regarding combining work with family life	NA	NA	NA	1	5
265	2020-04-27 15:20:53	R_xFyTYPC3fgDBRkZ	Yes	more efficient	more efficient	1	1	1	5	5	4	1	1	5	7	5	2	1	5	4	50	80	Yes	postdoc	Life Sciences	None of them	No	Male	45 - 54	No	Yes	Fully equipped	Living with partner and non-adult child(ren)	No	>60 min	0	0	0	2	1	0	Yes	Yes	NA	Better computer facilities	NA	NA	NA	NA	3	30
205	2020-04-27 15:21:23	R_zSDqiFzBGRrc0nL	Yes	more efficient	more efficient	7	4	2	4	7	7	7	6	6	4	7	7	7	7	4	100	61	Yes	full professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Male	45 - 54	Yes	Yes	Underequipped	Living with partner and non-adult child(ren)	Yes	30-60 min	0	0	0	0	2	0	Yes	No	NA	NA	NA	NA	NA	NA	2	-39
469	2020-04-27 15:21:30	R_1eViBf7rQrmSG7l	Yes	more efficient	similarly efficient	4	4	4	6	6	6	5	4	4	7	6	4	4	7	4	19	30	Yes	associate professor	Other	Research and educational institute	No	Female	25 - 34	Yes	No	Fully equipped	Living with partner and non-adult child(ren)	Yes	30-60 min	0	1	0	0	0	0	No	No	Better communication	NA	Support for problems regarding combining work with family life	NA	Administrative flexibility during lockdowns	NA	1	11
258	2020-04-27 15:22:07	R_24q7whqz01eyDRp	Yes	less efficient	less efficient	6	6	6	7	7	6	5	5	5	7	6	4	4	5	4	0	10	Yes	assistant professor	Life Sciences	Research and educational institute	No	Male	35 - 44	Yes	No	Fully equipped	Living alone	NA	<30 min	0	0	0	0	0	0	No	NA	NA	NA	NA	NA	NA	NA	0	10
208	2020-04-27 15:22:13	R_2t5owGDbRs656NZ	Yes	more efficient	more efficient	1	1	1	6	6	3	1	1	1	1	1	4	2	6	4	20	80	Yes	non-academic researcher	Life Sciences	Research and educational institute	Yes (including if someone else does it for me)	Male	45 - 54	Yes	Yes	Underequipped	Living with partner and non-adult child(ren)	Yes	<30 min	0	0	1	1	0	0	No	No	NA	NA	Support for problems regarding combining work with family life	NA	Administrative flexibility during lockdowns	NA	2	60
205	2020-04-27 15:22:32	R_28IFExnu61H8uQd	Yes	similarly efficient	similarly efficient	5	5	4	5	6	7	2	2	2	7	3	3	3	7	3	51	51	Yes	full professor	Life Sciences	Research and educational institute	No	Male	65 - 74	Yes	Yes	Fully equipped	Living only with partner	Yes	>60 min	0	0	0	0	0	0	No	NA	NA	NA	NA	NA	NA	NA	0	0
328	2020-04-27 15:22:53	R_1PUdQyKQaZwSQGs	Yes	similarly efficient	similarly efficient	4	4	4	7	6	7	2	4	3	5	4	5	4	6	5	16	50	Yes	associate professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Female	35 - 44	Yes	No	Underequipped	Living only with partner	Yes	<30 min	0	0	0	0	0	0	No	NA	NA	Better computer facilities	NA	NA	NA	NA	0	34
372	2020-04-27 15:23:20	R_22FEapxTchyover	No	NA	more efficient	1	1	1	3	1	1	1	1	1	1	1	1	1	1	5	80	95	Yes	assistant professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Female	45 - 54	Yes	No	Fully equipped	Other	Yes	<30 min	0	0	0	0	0	0	No	No	NA	NA	NA	NA	NA	Other	0	15
228	2020-04-27 15:23:54	R_RLm698YCHzB8Rhf	Yes	less efficient	less efficient	6	6	6	6	6	6	4	4	3	3	4	5	6	6	6	1	33	Yes	non-academic researcher	Other	Purely research institute	Yes (including if someone else does it for me)	Male	25 - 34	No	No	Underequipped	Living only with partner	Yes	<30 min	0	0	0	0	0	0	No	NA	Better communication	NA	NA	NA	NA	NA	0	32
211	2020-04-27 15:24:16	R_1FQaUS237TTCjTq	Yes	less efficient	less efficient	5	5	5	6	6	6	6	6	3	4	6	5	5	6	6	30	40	Yes	assistant professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Female	35 - 44	Yes	No	Underequipped	Living only with partner	Yes	<30 min	0	0	0	0	0	0	No	NA	Better communication	Better computer facilities	Support for problems regarding combining work with family life	NA	Administrative flexibility during lockdowns	Other	0	10
230	2020-04-27 15:24:22	R_uh5NfPYHc9ewr7j	Yes	less efficient	less efficient	6	7	6	7	7	7	6	7	6	5	7	4	5	7	5	13	5	Yes	full professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Male	65 - 74	No	Yes	Fully equipped	Living only with partner	No	<30 min	0	0	0	0	0	0	No	NA	Better communication	NA	NA	More tips on working from home	NA	NA	0	-8
417	2020-04-27 15:25:34	R_1CCRSP5sBVayFEP	Yes	less efficient	more efficient	4	3	4	5	3	4	2	2	2	6	5	4	5	5	5	20	40	Yes	associate professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Male	35 - 44	Yes	Yes	Fully equipped	Living with partner and non-adult child(ren)	Yes	30-60 min	0	0	0	1	1	0	Yes	No	NA	NA	Support for problems regarding combining work with family life	NA	Administrative flexibility during lockdowns	NA	2	20
146	2020-04-27 15:26:30	R_3PWXgA3cScY7ymd	Yes	more efficient	similarly efficient	1	1	1	4	5	6	1	2	3	7	6	3	6	5	1	20	62	Yes	full professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Female	35 - 44	Yes	Yes	Underequipped	Living only with partner	Yes	<30 min	0	0	0	0	0	0	No	NA	Better communication	Better computer facilities	NA	NA	NA	NA	0	42
392	2020-04-27 15:26:40	R_2wGJYrHomMHva3t	Yes	less efficient	similarly efficient	2	3	2	6	6	6	2	2	3	6	6	2	2	4	3	80	80	Yes	full professor	Social Sciences	Research and educational institute	No	Male	35 - 44	Yes	Yes	Fully equipped	Living with partner and non-adult child(ren)	Yes	<30 min	0	1	0	0	0	0	No	No	NA	NA	Support for problems regarding combining work with family life	NA	NA	NA	1	0
289	2020-04-27 15:28:13	R_2ToPn3zbDGCbo6h	Yes	less efficient	similarly efficient	3	3	4	5	4	6	2	2	3	7	7	4	2	5	5	9	26	Yes	associate professor	Social Sciences	Purely research institute	Yes (including if someone else does it for me)	Male	45 - 54	No	Yes	Underequipped	Living with partner and non-adult child(ren)	No	<30 min	0	0	0	0	1	1	Yes	Yes	NA	NA	NA	NA	NA	NA	2	17
672	2020-04-27 15:28:14	R_6mud98036425uiB	Yes	similarly efficient	more efficient	3	2	2	7	6	6	2	6	2	7	5	3	2	6	2	19	51	Yes	associate professor	Other	Research and educational institute	Yes (including if someone else does it for me)	Female	35 - 44	Yes	Yes	Underequipped	Living with partner and non-adult child(ren)	Yes	30-60 min	0	0	1	1	0	0	Yes	No	NA	Better computer facilities	Support for problems regarding combining work with family life	NA	Administrative flexibility during lockdowns	NA	2	32
219	2020-04-27 15:29:20	R_3oSGhTwOlGbufTz	Yes	less efficient	less efficient	7	7	7	4	4	4	5	6	4	6	5	4	5	4	5	10	10	Yes	postdoc	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Female	25 - 34	Yes	No	Underequipped	Living only with partner	Yes	<30 min	0	0	0	0	0	0	No	NA	NA	Better computer facilities	NA	NA	NA	NA	0	0
242	2020-04-27 15:29:59	R_31z9CJuUpGQuWJx	Yes	more efficient	more efficient	1	1	1	5	5	5	1	1	1	7	4	2	2	4	4	29	70	Yes	full professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Male	45 - 54	Yes	Yes	Fully equipped	Other	Yes	30-60 min	0	0	0	0	0	1	No	NA	NA	NA	NA	NA	NA	Other	1	41
914	2020-04-27 15:30:27	R_21vPlJMWvxLMdFK	Yes	similarly efficient	more efficient	1	2	1	6	7	7	1	1	1	7	6	4	4	4	5	10	20	Yes	postdoc	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Female	25 - 34	Yes	Yes	Underequipped	Living only with partner	Yes	30-60 min	0	0	0	0	0	0	No	NA	NA	Better computer facilities	NA	NA	Administrative flexibility during lockdowns	NA	0	10
241	2020-04-27 15:30:30	R_pi0jh2Pmh1OApgd	Yes	less efficient	less efficient	6	6	6	7	7	7	1	4	2	5	5	7	7	7	7	30	40	Yes	associate professor	Other	Research and educational institute	No	Female	35 - 44	No	Yes	Underequipped	Living with partner and non-adult child(ren)	Yes	30-60 min	0	1	1	0	0	0	No	Yes	NA	NA	Support for problems regarding combining work with family life	NA	NA	NA	2	10
290	2020-04-27 15:33:13	R_3iDvrU03FuXvkp8	Yes	similarly efficient	similarly efficient	4	4	2	5	4	4	2	2	2	5	4	4	3	5	5	49	51	Yes	assistant professor	Other	Research and educational institute	Yes (including if someone else does it for me)	Female	35 - 44	Yes	Yes	Underequipped	Living with partner and non-adult child(ren)	Yes	30-60 min	0	0	0	1	0	0	Yes	No	NA	Better computer facilities	NA	NA	Administrative flexibility during lockdowns	Other	1	2
753	2020-04-27 15:33:19	R_26i5xe2Nn6EAsHy	Yes	similarly efficient	similarly efficient	3	3	5	2	3	3	4	4	4	4	4	4	2	3	5	40	50	Yes	assistant professor	Life Sciences	Research and educational institute	Yes (including if someone else does it for me)	Male	65 - 74	Yes	Yes	Fully equipped	Other	NA	>60 min	0	0	0	0	0	1	No	NA	Better communication	NA	NA	NA	NA	NA	1	10
1100	2020-04-27 15:35:02	R_SNL97JjVQ3CxnHP	Yes	more efficient	similarly efficient	4	4	3	5	2	2	2	2	2	5	3	4	5	4	4	9	25	Yes	associate professor	Life Sciences	Research and educational institute	No	Male	55 - 64	Yes	Yes	Fully equipped	Living with partner and non-adult child(ren)	Yes	<30 min	0	0	0	0	1	1	No	No	Better communication	NA	NA	More tips on working from home	Administrative flexibility during lockdowns	NA	2	16
653	2020-04-27 15:35:17	R_2YsQLlZtKqInWw9	Yes	similarly efficient	less efficient	1	1	1	4	5	5	1	1	1	7	7	1	1	5	3	20	61	Yes	full professor	Other	Research and educational institute	No	Male	55 - 64	Yes	Yes	Fully equipped	Living with parents or other adult family members	Yes	30-60 min	0	0	0	0	0	2	Yes	NA	Better communication	NA	NA	NA	Administrative flexibility during lockdowns	NA	2	41
253	2020-04-27 15:36:08	R_2qjuvmB99eYdafd	No	NA	similarly efficient	5	5	5	6	6	5	2	2	2	6	5	5	5	5	5	100	40	Yes	associate professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Female	55 - 64	Yes	No	Fully equipped	Living only with partner	Yes	<30 min	0	0	0	0	0	0	No	NA	NA	NA	NA	NA	NA	NA	0	-60
181	2020-04-27 15:37:40	R_3m2VX369maKDZlM	Yes	similarly efficient	more efficient	1	1	1	6	5	6	1	1	1	7	6	4	5	6	1	30	50	Yes	full professor	Life Sciences	Research and educational institute	Yes (including if someone else does it for me)	Male	55 - 64	Yes	Yes	Fully equipped	Living only with partner	Yes	<30 min	0	0	0	0	0	0	No	No	NA	NA	NA	NA	Administrative flexibility during lockdowns	NA	0	20
1467	2020-04-27 15:37:51	R_1H0EU8QiE0yMysK	Yes	similarly efficient	similarly efficient	3	4	6	5	5	5	4	5	6	4	1	5	3	5	4	40	81	Yes	associate professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Female	45 - 54	Yes	No	Fully equipped	Living with partner and non-adult child(ren)	Yes	30-60 min	0	0	0	1	0	0	Yes	Yes	NA	NA	Support for problems regarding combining work with family life	NA	NA	NA	1	41
574	2020-04-27 15:39:09	R_2R9bpRjJC2jf9aT	Yes	more efficient	more efficient	2	2	3	6	5	6	2	2	1	6	4	3	3	4	2	9	30	Yes	full professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Male	55 - 64	Yes	Yes	Fully equipped	Living with parents or other adult family members	No	30-60 min	0	0	0	0	0	3	No	NA	Better communication	Better computer facilities	NA	NA	Administrative flexibility during lockdowns	NA	3	21
252	2020-04-27 15:40:35	R_3JLxlD1n8cPCMwa	Yes	less efficient	similarly efficient	1	1	3	4	4	4	1	1	1	4	1	2	3	5	4	70	91	Yes	non-academic researcher	Other	None of them	Yes (including if someone else does it for me)	Female	35 - 44	Yes	Yes	Fully equipped	Living with partner and non-adult child(ren)	No	<30 min	0	0	1	1	0	0	Yes	Yes	NA	NA	Support for problems regarding combining work with family life	NA	Administrative flexibility during lockdowns	NA	2	21
443	2020-04-27 15:41:20	R_1NfSnwKcFJehEGo	Yes	similarly efficient	more efficient	2	4	2	6	6	4	1	1	1	6	5	3	4	5	4	20	75	Yes	postdoc	Social Sciences	Purely research institute	Yes (including if someone else does it for me)	Female	35 - 44	No	Yes	Fully equipped	Living with partner and non-adult child(ren)	No	<30 min	0	1	1	0	0	0	No	Yes	Better communication	NA	NA	NA	Administrative flexibility during lockdowns	NA	2	55
424	2020-04-27 15:43:42	R_1n3dapntgldmkRp	Yes	similarly efficient	less efficient	5	4	4	5	5	4	5	6	5	6	6	5	5	4	4	15	10	Yes	full professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Female	45 - 54	Yes	Yes	Underequipped	Living alone	NA	<30 min	0	0	0	0	0	0	No	NA	NA	NA	NA	NA	NA	Other	0	-5
447	2020-04-27 15:45:55	R_3KZ3VGh30AtPTbe	Yes	similarly efficient	similarly efficient	5	5	6	6	4	4	5	5	6	7	7	5	3	4	4	10	25	Yes	full professor	Life Sciences	Research and educational institute	No	Male	55 - 64	Yes	No	Fully equipped	Living with partner and non-adult child(ren)	Yes	30-60 min	0	0	0	0	0	1	No	NA	NA	NA	NA	NA	Administrative flexibility during lockdowns	NA	1	15
242	2020-04-27 15:47:45	R_27KklkFqAnEvgYh	Yes	less efficient	less efficient	6	6	7	7	7	7	7	7	7	7	7	5	7	7	7	20	10	No	associate professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Female	45 - 54	Yes	Yes	Underequipped	Single-parent with non-adult child(ren)	NA	<30 min	0	0	0	1	0	0	Yes	No	NA	Better computer facilities	Support for problems regarding combining work with family life	NA	NA	Other	1	-10
304	2020-04-27 15:50:40	R_2riKQurxh0U3he4	Yes	less efficient	less efficient	2	2	2	6	7	7	2	5	5	7	7	5	6	6	7	41	43	Yes	postdoc	Social Sciences	Research and educational institute	No	Female	25 - 34	Yes	Yes	Fully equipped	Living with partner and non-adult child(ren)	No	<30 min	1	1	0	0	0	0	No	No	NA	NA	Support for problems regarding combining work with family life	NA	Administrative flexibility during lockdowns	NA	2	2
423	2020-04-27 15:51:39	R_2SAY4kkIsCvF7Hj	Yes	less efficient	less efficient	1	1	1	4	7	7	1	4	1	7	4	1	1	4	7	80	70	Yes	associate professor	Life Sciences	Research and educational institute	No	Male	55 - 64	Yes	Yes	Fully equipped	Living alone	NA	<30 min	0	0	0	0	0	0	No	NA	NA	NA	NA	NA	NA	NA	0	-10
210	2020-04-27 15:56:11	R_1lzwqm8ZS8EAFpt	Yes	less efficient	more efficient	6	6	5	7	4	3	6	7	5	7	6	2	2	4	3	24	30	Yes	full professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Male	55 - 64	Yes	Yes	Underequipped	Living only with partner	No	<30 min	0	0	0	0	0	0	No	NA	NA	Better computer facilities	NA	More tips on working from home	NA	NA	0	6
216	2020-04-27 15:57:48	R_D7xtvs6cIyYjpcZ	Yes	similarly efficient	similarly efficient	1	3	4	6	7	6	2	4	6	4	6	2	3	5	5	10	29	Yes	assistant professor	Social Sciences	Research and educational institute	NA	Female	35 - 44	Yes	No	Underequipped	Living only with partner	Yes	<30 min	0	0	0	0	0	0	No	NA	Better communication	Better computer facilities	NA	NA	NA	NA	0	19
426	2020-04-27 15:57:57	R_3r2lwkfZoZnz93g	Yes	less efficient	less efficient	5	4	7	7	4	4	1	1	3	7	7	6	6	7	4	50	50	Yes	assistant professor	Social Sciences	Research and educational institute	No	Female	45 - 54	Yes	Yes	Underequipped	Living only with partner	Yes	>60 min	0	0	0	0	0	0	No	NA	NA	NA	NA	NA	NA	Other	0	0
288	2020-04-27 15:58:29	R_27WjouUQkYGzjC2	Yes	less efficient	less efficient	2	5	4	6	6	6	2	3	3	6	5	4	3	6	6	30	50	Yes	associate professor	Physical Sciences	Research and educational institute	Yes (including if someone else does it for me)	Male	35 - 44	Yes	Yes	Underequipped	Living with partner and non-adult child(ren)	No	30-60 min	0	0	0	2	0	0	No	No	Better communication	NA	NA	NA	NA	NA	2	20
735	2020-04-27 15:59:25	R_1hZk6AyiCAAqraF	Yes	less efficient	more efficient	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	4	19	No	postdoc	Other	Research and educational institute	Yes (including if someone else does it for me)	Female	35 - 44	Yes	Yes	Underequipped	Living with partner and non-adult child(ren)	Yes	<30 min	0	1	1	0	0	0	Yes	Yes	NA	NA	Support for problems regarding combining work with family life	NA	NA	NA	2	15
305	2020-04-27 16:00:10	R_2EGDYRwfoLEXQk5	Yes	more efficient	more efficient	1	1	1	3	3	3	1	1	1	3	1	1	1	3	1	4	88	Yes	associate professor	Formal Sciences	Research and educational institute	Yes (including if someone else does it for me)	Female	45 - 54	No	Yes	Fully equipped	Living with parents or other adult family members	Yes	30-60 min	0	0	0	0	1	0	No	No	NA	Better computer facilities	NA	NA	NA	NA	1	84
196	2020-04-27 16:03:52	R_24zNQ6MHQZwlWkK	Yes	less efficient	less efficient	4	4	7	6	7	7	4	4	6	7	4	4	3	5	5	10	10	Yes	full professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Male	45 - 54	Yes	Yes	Fully equipped	Living only with partner	Yes	30-60 min	0	0	0	0	0	0	No	NA	NA	NA	NA	NA	NA	Other	0	0
248	2020-04-27 16:07:36	R_3O0KDcYanPkyY1m	Yes	more efficient	similarly efficient	1	1	1	5	5	5	1	1	1	7	4	4	4	6	4	40	39	Yes	full professor	Earth & Space Sciences	Research and educational institute	No	Male	65 - 74	Yes	Yes	Fully equipped	Living alone	Yes	<30 min	0	0	0	0	0	0	No	NA	NA	NA	NA	NA	NA	NA	0	-1
290	2020-04-27 16:14:04	R_1q2EBwYhDnr7xFe	Yes	similarly efficient	similarly efficient	3	4	4	6	4	4	1	3	1	6	5	2	2	6	5	19	50	Yes	full professor	Social Sciences	Purely research institute	Yes (including if someone else does it for me)	Male	55 - 64	No	Yes	Fully equipped	Living only with partner	No	>60 min	0	0	0	0	0	0	No	NA	NA	NA	NA	NA	Administrative flexibility during lockdowns	NA	0	31
501	2020-04-27 16:14:28	R_2cB1k8orAfhnQKO	Yes	similarly efficient	similarly efficient	4	4	5	4	5	5	3	2	5	4	5	4	4	5	2	19	50	Yes	associate professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Male	35 - 44	Yes	Yes	Fully equipped	Living with partner and non-adult child(ren)	Yes	<30 min	0	0	0	1	0	0	Yes	No	NA	Better computer facilities	NA	NA	Administrative flexibility during lockdowns	NA	1	31
299	2020-04-27 16:17:48	R_AhPmothdOuziDsJ	Yes	similarly efficient	similarly efficient	4	4	4	7	7	4	4	4	6	4	7	4	4	4	4	100	40	No	full professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Male	65 - 74	Yes	No	Fully equipped	Living only with partner	Yes	<30 min	0	0	0	0	0	0	No	No	NA	NA	NA	NA	NA	Other	0	-60
230	2020-04-27 16:18:05	R_1H61YSAYY3LdHpQ	Yes	less efficient	less efficient	4	4	5	3	3	3	6	5	5	3	6	4	5	4	4	10	19	Yes	full professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Male	65 - 74	Yes	Yes	Fully equipped	Living only with partner	Yes	<30 min	0	0	0	0	0	0	No	NA	NA	NA	NA	NA	NA	NA	0	9
465	2020-04-27 16:23:57	R_3O0wSfEpIN4sE7k	No	NA	less efficient	7	7	7	7	7	5	5	6	7	7	7	5	5	5	7	80	20	No	full professor	Other	Research and educational institute	No	Female	75 - 84	Yes	Yes	Fully equipped	Living with non-family others	NA	<30 min	0	0	0	0	0	2	No	NA	NA	Better computer facilities	NA	NA	NA	NA	2	-60
382	2020-04-27 16:28:37	R_2VrT6JOyo6BPW9N	Yes	more efficient	more efficient	1	1	1	3	5	5	1	1	1	4	1	3	1	7	1	61	81	Yes	associate professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Female	45 - 54	Yes	No	Fully equipped	Living only with partner	Yes	30-60 min	0	0	0	0	0	0	No	NA	NA	NA	NA	More tips on working from home	Administrative flexibility during lockdowns	NA	0	20
