start_date	end_date	status	progress	duration_in_seconds	finished	recorded_date	response_id	distribution_channel	user_language	work_home_prop_now_1	work_home_prop_prior_1	home_school	discipline
2020-03-30 20:50:00	2020-03-30 20:52:04	IP Address	100	123	True	2020-03-30 20:52:05	R_vvosjt1ICTuKZuF	email	EN	100	20	No	computer science
2020-03-30 21:06:07	2020-03-30 21:06:49	IP Address	100	41	True	2020-03-30 21:06:49	R_0umLJOiZShadDnH	email	EN	100	20	No	psychology
2020-03-30 21:08:39	2020-03-30 21:09:50	IP Address	100	71	True	2020-03-30 21:09:51	R_AFksVX4VZBD4Y8x	email	EN	61	19	Yes	Neuroscience
2020-03-30 21:10:43	2020-03-30 21:16:56	IP Address	100	373	True	2020-03-30 21:16:57	R_3ke8JJlFXZ5cVKj	email	EN	100	10	No	Clinical health psychology
2020-03-30 21:48:20	2020-03-30 21:53:36	IP Address	100	316	True	2020-03-30 21:53:37	R_3lyGOFKXjP9uQNO	email	EN	100	40	No	Child Development/Early Childhood education
2020-03-30 21:53:39	2020-03-30 21:55:14	IP Address	100	94	True	2020-03-30 21:55:14	R_2ZBVyeCEw4FYMn8	email	EN	100	50	No	Psychopathology
2020-03-30 23:26:04	2020-03-30 23:31:27	IP Address	100	323	True	2020-03-30 23:31:27	R_1gUUqXqqm49dWQj	email	EN	100	0	Yes	Mental Health
2020-03-31 00:41:27	2020-03-31 00:42:53	IP Address	100	85	True	2020-03-31 00:42:53	R_x0eZoAr0kmlD10l	email	EN	100	20	Yes	Marketing
2020-03-31 01:09:43	2020-03-31 01:11:53	IP Address	100	130	True	2020-03-31 01:11:53	R_29mrIz3WLUtCB2O	email	EN	3	20	Yes	psychology
2020-03-31 03:21:06	2020-03-31 03:22:15	IP Address	100	68	True	2020-03-31 03:22:16	R_BWnLmhnf0GaWBAl	email	EN	100	61	No	Comunication
2020-03-31 03:38:12	2020-03-31 03:41:51	IP Address	100	219	True	2020-03-31 03:41:52	R_YSRsO6j9AXrbsHv	email	EN	100	7	No	Food and Nutrition Education and Policy
2020-03-31 05:12:49	2020-03-31 05:15:16	IP Address	100	147	True	2020-03-31 05:15:17	R_a9TWF86ZPAJa3xD	email	EN	90	15	No	Medicine - Paediatrics adn child health
2020-03-31 07:33:30	2020-03-31 07:35:54	IP Address	100	143	True	2020-03-31 07:35:54	R_1hWLlVdMs6LbRpy	email	EN	30	10	No	Education
2020-03-31 09:35:54	2020-03-31 09:37:23	IP Address	100	89	True	2020-03-31 09:37:24	R_3p6hxiXP6jiT01a	email	EN	100	30	Yes	Biology (Behavioral Ecology)
2020-03-31 10:07:43	2020-03-31 10:10:35	IP Address	100	171	True	2020-03-31 10:10:37	R_1mxBpbE95mGxPHv	email	EN	100	29	Yes	Linguistics
2020-03-31 11:01:40	2020-03-31 11:04:58	IP Address	100	198	True	2020-03-31 11:04:59	R_DSNuXP8TXmqeO41	email	EN	100	NA	No	neurology
2020-03-31 11:18:43	2020-03-31 11:20:05	IP Address	100	81	True	2020-03-31 11:20:06	R_2S0qcNjouj6sxdv	email	EN	100	20	Yes	market research
2020-03-31 12:10:19	2020-03-31 12:20:55	IP Address	100	635	True	2020-03-31 12:20:55	R_3n1lHuYQiIrjRGU	email	EN	100	9	No	Psychology
2020-03-31 15:25:29	2020-03-31 15:36:53	IP Address	100	684	True	2020-03-31 15:36:53	R_Og02PRl2OKml43L	email	EN	100	90	No	1) Neurolinguistics and 2) entrepreneurship
2020-03-31 15:48:58	2020-03-31 15:51:31	IP Address	100	153	True	2020-03-31 15:51:32	R_3EiEUcUlRBPytLW	email	EN	94	20	Yes	Biology
2020-04-02 23:31:56	2020-04-02 23:34:49	IP Address	100	173	True	2020-04-02 23:34:49	R_2CxhMpEoeG2ZM8w	email	EN	100	66	No	Behavioural Neuroscience
2020-04-03 11:03:50	2020-04-03 11:06:07	IP Address	100	137	True	2020-04-03 11:06:08	R_2WveDoWtsJGkRkm	email	EN	100	5	No	medicine
2020-03-30 18:38:23	2020-03-30 18:38:32	IP Address	14	9	False	2020-04-06 18:38:41	R_VPdtzUh4bdNDblT	email	EN	NA	NA	NA	NA
2020-03-30 19:53:44	2020-03-30 19:58:11	IP Address	14	266	False	2020-04-06 19:58:33	R_1BXepjomNPeWp7o	email	EN	NA	NA	NA	NA
2020-03-31 00:05:46	2020-03-31 00:06:09	IP Address	14	22	False	2020-04-07 00:06:27	R_3lYpC65Lyfh6KI9	email	EN	NA	NA	NA	NA
2020-03-31 00:36:52	2020-03-31 00:37:04	IP Address	14	12	False	2020-04-07 00:37:16	R_3sh6rCb5T720aLk	email	EN	NA	NA	NA	NA
2020-03-31 08:02:12	2020-03-31 08:03:36	IP Address	14	83	False	2020-04-07 08:03:38	R_3jeZR75Zoe4ZKvU	email	EN	NA	NA	NA	NA
2020-03-31 21:23:20	2020-03-31 21:23:24	IP Address	14	4	False	2020-04-07 21:23:27	R_rkZB9znb6mjVPcl	email	EN	NA	NA	NA	NA
