StartDate	EndDate	Status	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	DistributionChannel	UserLanguage	working_home_time	now_before_eff	now_later_eff	home_office_aspect_1	home_office_aspect_2	home_office_aspect_3	home_office_aspect_4	home_office_aspect_5	home_office_aspect_6	home_office_aspect_7	home_office_aspect_8	home_office_aspect_9	home_office_aspect_10	home_office_aspect_11	home_office_aspect_12	home_office_aspect_13	home_office_aspect_14	home_office_aspect_15	prior_home_prop_1	future_home_prop_1	feasible	position	area_of_research	area_of_research_6_TEXT	wokrplace_type	data_coll_remote	gender	age	edu_duties	team_work	office_setup	living_sit	living_sit_7_TEXT	partner_work	work_home_dist	children_2	children_23	children_24	children_25	children_26	children_27	homeschool	childcare_help	need_from_org_1	need_from_org_4	need_from_org_7	need_from_org_9	need_from_org_10	need_from_org_11	need_from_org_11_TEXT
2020-04-27 15:06:05	2020-04-27 15:13:59	IP Address	100	474	True	2020-04-27 15:14:00	R_3EW2tMo9YLXLbrR	email	EN	Yes	less efficient	less efficient	4	4	4	6	"In the office
7
"	6	5	4	4	6	"In the office
7
"	4	4	"In the office
7
"	4	41	41	No	associate professor	Social Sciences	NA	Research and educational institute	Yes (including if someone else does it for me)	Male	45 - 54	Yes	No	Underequipped	Living alone	NA	NA	<30 min	0	0	0	0	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2020-04-27 15:10:16	2020-04-27 15:14:07	IP Address	100	231	True	2020-04-27 15:14:08	R_73xRitIs3C5sbAt	email	EN	Yes	more efficient	more efficient	3	2	"At home

1
"	6	6	"In the office
7
"	2	2	"At home

1
"	4	6	"In the office
7
"	5	5	3	30	50	No	assistant professor	Social Sciences	NA	Research and educational institute	No	Male	35 - 44	Yes	No	Underequipped	Living alone	NA	NA	<30 min	0	0	0	0	0	0	No	NA	Better communication	Better computer facilities	NA	NA	Administrative flexibility during lockdowns	NA	NA
2020-04-27 15:13:07	2020-04-27 15:15:12	IP Address	100	125	True	2020-04-27 15:15:12	R_3PmYtAuUgGLKqnL	email	EN	Yes	less efficient	less efficient	6	6	6	4	4	4	6	6	6	6	"In the office
7
"	"In the office
7
"	4	5	5	100	15	Yes	full professor	Social Sciences	NA	Research and educational institute	Yes (including if someone else does it for me)	Male	45 - 54	Yes	Yes	Underequipped	Living with partner and non-adult child(ren)	NA	No	30-60 min	0	0	0	1	3	0	Yes	Yes	NA	Better computer facilities	NA	NA	NA	NA	NA
2020-04-27 15:12:26	2020-04-27 15:16:54	IP Address	100	267	True	2020-04-27 15:16:54	R_VJTGwSFmrzO39Vn	email	EN	Yes	less efficient	similarly efficient	"At home

1
"	"At home

1
"	5	6	5	5	"At home

1
"	4	5	6	4	4	3	5	5	5	25	Yes	full professor	Social Sciences	NA	Research and educational institute	Yes (including if someone else does it for me)	Female	45 - 54	Yes	Yes	Fully equipped	Living with partner and non-adult child(ren)	NA	Yes	30-60 min	0	0	0	0	2	0	Yes	Yes	Better communication	NA	NA	NA	NA	NA	NA
2020-04-27 15:14:54	2020-04-27 15:19:51	IP Address	100	297	True	2020-04-27 15:19:52	R_wRG2rGxXg7jexiN	email	EN	Yes	similarly efficient	similarly efficient	4	4	4	4	6	4	4	4	4	"In the office
7
"	6	"At home

1
"	"At home

1
"	4	5	60	95	Yes	associate professor	Social Sciences	NA	Research and educational institute	Yes (including if someone else does it for me)	Male	35 - 44	Yes	Yes	Fully equipped	Living with partner and non-adult child(ren)	NA	No	<30 min	0	1	1	1	0	0	Yes	Yes	NA	Better computer facilities	NA	NA	NA	Other:	Stop insisting on unnnecessary zoom meetings
2020-04-27 15:16:02	2020-04-27 15:19:54	IP Address	100	231	True	2020-04-27 15:19:54	R_2fBPHI0dggc6Hf2	email	EN	Yes	less efficient	less efficient	6	4	5	6	6	6	3	3	2	"In the office
7
"	5	"In the office
7
"	"In the office
7
"	"In the office
7
"	4	20	25	Yes	full professor	Other:	NA	Research and educational institute	Yes (including if someone else does it for me)	Male	45 - 54	Yes	Yes	Fully equipped	Living with partner and non-adult child(ren)	NA	Yes	<30 min	0	0	0	0	1	1	Yes	No	NA	Better computer facilities	NA	NA	Administrative flexibility during lockdowns	NA	NA
2020-04-27 15:15:22	2020-04-27 15:19:56	IP Address	100	273	True	2020-04-27 15:19:56	R_2919s6MwNOrIv9s	email	EN	Yes	less efficient	less efficient	"In the office
7
"	"In the office
7
"	"In the office
7
"	"In the office
7
"	"In the office
7
"	"In the office
7
"	3	3	3	"In the office
7
"	"In the office
7
"	4	"In the office
7
"	"In the office
7
"	"In the office
7
"	5	10	No	assistant professor	Other:	NA	Research and educational institute	No	Female	35 - 44	Yes	Yes	Underequipped	Living with partner and non-adult child(ren)	NA	Yes	<30 min	0	0	0	1	0	0	Yes	No	NA	NA	Support for problems regarding combining work with family life	NA	NA	NA	NA
2020-04-27 15:16:27	2020-04-27 15:20:53	IP Address	100	265	True	2020-04-27 15:20:53	R_xFyTYPC3fgDBRkZ	email	EN	Yes	more efficient	more efficient	"At home

1
"	"At home

1
"	"At home

1
"	5	5	4	"At home

1
"	"At home

1
"	5	"In the office
7
"	5	2	"At home

1
"	5	4	50	80	Yes	postdoc	Life Sciences	NA	None of them	No	Male	45 - 54	No	Yes	Fully equipped	Living with partner and non-adult child(ren)	NA	No	>60 min	0	0	0	2	1	0	Yes	Yes	NA	Better computer facilities	NA	NA	NA	NA	NA
2020-04-27 15:17:57	2020-04-27 15:21:22	IP Address	100	205	True	2020-04-27 15:21:23	R_zSDqiFzBGRrc0nL	email	EN	Yes	more efficient	more efficient	"In the office
7
"	4	2	4	"In the office
7
"	"In the office
7
"	"In the office
7
"	6	6	4	"In the office
7
"	"In the office
7
"	"In the office
7
"	"In the office
7
"	4	100	61	Yes	full professor	Social Sciences	NA	Research and educational institute	Yes (including if someone else does it for me)	Male	45 - 54	Yes	Yes	Underequipped	Living with partner and non-adult child(ren)	NA	Yes	30-60 min	0	0	0	0	2	0	Yes	No	NA	NA	NA	NA	NA	NA	NA
2020-04-27 15:13:40	2020-04-27 15:21:30	IP Address	100	469	True	2020-04-27 15:21:30	R_1eViBf7rQrmSG7l	email	EN	Yes	more efficient	similarly efficient	4	4	4	6	6	6	5	4	4	"In the office
7
"	6	4	4	"In the office
7
"	4	19	30	Yes	associate professor	Other:	Psychology and Behavioural Sciences	Research and educational institute	No	Female	25 - 34	Yes	No	Fully equipped	Living with partner and non-adult child(ren)	NA	Yes	30-60 min	0	1	0	0	0	0	No	No	Better communication	NA	Support for problems regarding combining work with family life	NA	Administrative flexibility during lockdowns	NA	NA
2020-04-27 15:17:49	2020-04-27 15:22:07	IP Address	100	258	True	2020-04-27 15:22:07	R_24q7whqz01eyDRp	email	EN	Yes	less efficient	less efficient	6	6	6	"In the office
7
"	"In the office
7
"	6	5	5	5	"In the office
7
"	6	4	4	5	4	0	10	Yes	assistant professor	Life Sciences	NA	Research and educational institute	No	Male	35 - 44	Yes	No	Fully equipped	Living alone	NA	NA	<30 min	0	0	0	0	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2020-04-27 15:18:44	2020-04-27 15:22:13	IP Address	100	208	True	2020-04-27 15:22:13	R_2t5owGDbRs656NZ	email	EN	Yes	more efficient	more efficient	"At home

1
"	"At home

1
"	"At home

1
"	6	6	3	"At home

1
"	"At home

1
"	"At home

1
"	"At home

1
"	"At home

1
"	4	2	6	4	20	80	Yes	non-academic researcher	Life Sciences	NA	Research and educational institute	Yes (including if someone else does it for me)	Male	45 - 54	Yes	Yes	Underequipped	Living with partner and non-adult child(ren)	NA	Yes	<30 min	0	0	1	1	0	0	No	No	NA	NA	Support for problems regarding combining work with family life	NA	Administrative flexibility during lockdowns	NA	NA
2020-04-27 15:19:05	2020-04-27 15:22:31	IP Address	100	205	True	2020-04-27 15:22:32	R_28IFExnu61H8uQd	email	EN	Yes	similarly efficient	similarly efficient	5	5	4	5	6	"In the office
7
"	2	2	2	"In the office
7
"	3	3	3	"In the office
7
"	3	51	51	Yes	full professor	Life Sciences	NA	Research and educational institute	No	Male	65 - 74	Yes	Yes	Fully equipped	Living only with partner	NA	Yes	>60 min	0	0	0	0	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
2020-04-27 15:17:24	2020-04-27 15:22:53	IP Address	100	328	True	2020-04-27 15:22:53	R_1PUdQyKQaZwSQGs	email	EN	Yes	similarly efficient	similarly efficient	4	4	4	"In the office
7
"	6	"In the office
7
"	2	4	3	5	4	5	4	6	5	16	50	Yes	associate professor	Social Sciences	NA	Research and educational institute	Yes (including if someone else does it for me)	Female	35 - 44	Yes	No	Underequipped	Living only with partner	NA	Yes	<30 min	0	0	0	0	0	0	No	NA	NA	Better computer facilities	NA	NA	NA	NA	NA
2020-04-27 15:17:06	2020-04-27 15:23:19	IP Address	100	372	True	2020-04-27 15:23:20	R_22FEapxTchyover	email	EN	No	NA	more efficient	"At home

1
"	"At home

1
"	"At home

1
"	3	"At home

1
"	"At home

1
"	"At home

1
"	"At home

1
"	"At home

1
"	"At home

1
"	"At home

1
"	"At home

1
"	"At home

1
"	"At home

1
"	5	80	95	Yes	assistant professor	Social Sciences	NA	Research and educational institute	Yes (including if someone else does it for me)	Female	45 - 54	Yes	No	Fully equipped	Other:	Living with partner and 1 adult child	Yes	<30 min	0	0	0	0	0	0	No	No	NA	NA	NA	NA	NA	Other:	Rules regarding recommended use of online teaching (which software, which time, weekly frequency...)
2020-04-27 15:20:06	2020-04-27 15:23:54	IP Address	100	228	True	2020-04-27 15:23:54	R_RLm698YCHzB8Rhf	email	EN	Yes	less efficient	less efficient	6	6	6	6	6	6	4	4	3	3	4	5	6	6	6	1	33	Yes	non-academic researcher	Other:	nlp	Purely research institute	Yes (including if someone else does it for me)	Male	25 - 34	No	No	Underequipped	Living only with partner	NA	Yes	<30 min	0	0	0	0	0	0	No	NA	Better communication	NA	NA	NA	NA	NA	NA
2020-04-27 15:20:44	2020-04-27 15:24:16	IP Address	100	211	True	2020-04-27 15:24:16	R_1FQaUS237TTCjTq	email	EN	Yes	less efficient	less efficient	5	5	5	6	6	6	6	6	3	4	6	5	5	6	6	30	40	Yes	assistant professor	Social Sciences	NA	Research and educational institute	Yes (including if someone else does it for me)	Female	35 - 44	Yes	No	Underequipped	Living only with partner	NA	Yes	<30 min	0	0	0	0	0	0	No	NA	Better communication	Better computer facilities	Support for problems regarding combining work with family life	NA	Administrative flexibility during lockdowns	Other:	Subsidy for internet access.
2020-04-27 15:20:31	2020-04-27 15:24:21	IP Address	100	230	True	2020-04-27 15:24:22	R_uh5NfPYHc9ewr7j	email	EN	Yes	less efficient	less efficient	6	"In the office
7
"	6	"In the office
7
"	"In the office
7
"	"In the office
7
"	6	"In the office
7
"	6	5	"In the office
7
"	4	5	"In the office
7
"	5	13	5	Yes	full professor	Social Sciences	NA	Research and educational institute	Yes (including if someone else does it for me)	Male	65 - 74	No	Yes	Fully equipped	Living only with partner	NA	No	<30 min	0	0	0	0	0	0	No	NA	Better communication	NA	NA	More tips on working from home	NA	NA	NA
2020-04-27 15:18:37	2020-04-27 15:25:34	IP Address	100	417	True	2020-04-27 15:25:34	R_1CCRSP5sBVayFEP	email	EN	Yes	less efficient	more efficient	4	3	4	5	3	4	2	2	2	6	5	4	5	5	5	20	40	Yes	associate professor	Social Sciences	NA	Research and educational institute	Yes (including if someone else does it for me)	Male	35 - 44	Yes	Yes	Fully equipped	Living with partner and non-adult child(ren)	NA	Yes	30-60 min	0	0	0	1	1	0	Yes	No	NA	NA	Support for problems regarding combining work with family life	NA	Administrative flexibility during lockdowns	NA	NA
2020-04-27 15:24:03	2020-04-27 15:26:30	IP Address	100	146	True	2020-04-27 15:26:30	R_3PWXgA3cScY7ymd	email	EN	Yes	more efficient	similarly efficient	"At home

1
"	"At home

1
"	"At home

1
"	4	5	6	"At home

1
"	2	3	"In the office
7
"	6	3	6	5	"At home

1
"	20	62	Yes	full professor	Social Sciences	NA	Research and educational institute	Yes (including if someone else does it for me)	Female	35 - 44	Yes	Yes	Underequipped	Living only with partner	NA	Yes	<30 min	0	0	0	0	0	0	No	NA	Better communication	Better computer facilities	NA	NA	NA	NA	NA
2020-04-27 15:20:07	2020-04-27 15:26:40	IP Address	100	392	True	2020-04-27 15:26:40	R_2wGJYrHomMHva3t	email	EN	Yes	less efficient	similarly efficient	2	3	2	6	6	6	2	2	3	6	6	2	2	4	3	80	80	Yes	full professor	Social Sciences	NA	Research and educational institute	No	Male	35 - 44	Yes	Yes	Fully equipped	Living with partner and non-adult child(ren)	NA	Yes	<30 min	0	1	0	0	0	0	No	No	NA	NA	Support for problems regarding combining work with family life	NA	NA	NA	NA
2020-04-27 15:23:24	2020-04-27 15:28:13	IP Address	100	289	True	2020-04-27 15:28:13	R_2ToPn3zbDGCbo6h	email	EN	Yes	less efficient	similarly efficient	3	3	4	5	4	6	2	2	3	"In the office
7
"	"In the office
7
"	4	2	5	5	9	26	Yes	associate professor	Social Sciences	NA	Purely research institute	Yes (including if someone else does it for me)	Male	45 - 54	No	Yes	Underequipped	Living with partner and non-adult child(ren)	NA	No	<30 min	0	0	0	0	1	1	Yes	Yes	NA	NA	NA	NA	NA	NA	NA
2020-04-27 15:17:02	2020-04-27 15:28:14	IP Address	100	672	True	2020-04-27 15:28:14	R_6mud98036425uiB	email	EN	Yes	similarly efficient	more efficient	3	2	2	"In the office
7
"	6	6	2	6	2	"In the office
7
"	5	3	2	6	2	19	51	Yes	associate professor	Other:	Cognitive Modelling	Research and educational institute	Yes (including if someone else does it for me)	Female	35 - 44	Yes	Yes	Underequipped	Living with partner and non-adult child(ren)	NA	Yes	30-60 min	0	0	1	1	0	0	Yes	No	NA	Better computer facilities	Support for problems regarding combining work with family life	NA	Administrative flexibility during lockdowns	NA	NA
2020-04-27 15:25:40	2020-04-27 15:29:20	IP Address	100	219	True	2020-04-27 15:29:20	R_3oSGhTwOlGbufTz	email	EN	Yes	less efficient	less efficient	"In the office
7
"	"In the office
7
"	"In the office
7
"	4	4	4	5	6	4	6	5	4	5	4	5	10	10	Yes	postdoc	Social Sciences	NA	Research and educational institute	Yes (including if someone else does it for me)	Female	25 - 34	Yes	No	Underequipped	Living only with partner	NA	Yes	<30 min	0	0	0	0	0	0	No	NA	NA	Better computer facilities	NA	NA	NA	NA	NA
2020-04-27 15:25:56	2020-04-27 15:29:59	IP Address	100	242	True	2020-04-27 15:29:59	R_31z9CJuUpGQuWJx	email	EN	Yes	more efficient	more efficient	"At home

1
"	"At home

1
"	"At home

1
"	5	5	5	"At home

1
"	"At home

1
"	"At home

1
"	"In the office
7
"	4	2	2	4	4	29	70	Yes	full professor	Social Sciences	NA	Research and educational institute	Yes (including if someone else does it for me)	Male	45 - 54	Yes	Yes	Fully equipped	Other:	living with partner and one adult child	Yes	30-60 min	0	0	0	0	0	1	No	NA	NA	NA	NA	NA	NA	Other:	all fine at present
2020-04-27 15:15:12	2020-04-27 15:30:27	IP Address	100	914	True	2020-04-27 15:30:27	R_21vPlJMWvxLMdFK	email	EN	Yes	similarly efficient	more efficient	"At home

1
"	2	"At home

1
"	6	"In the office
7
"	"In the office
7
"	"At home

1
"	"At home

1
"	"At home

1
"	"In the office
7
"	6	4	4	4	5	10	20	Yes	postdoc	Social Sciences	NA	Research and educational institute	Yes (including if someone else does it for me)	Female	25 - 34	Yes	Yes	Underequipped	Living only with partner	NA	Yes	30-60 min	0	0	0	0	0	0	No	NA	NA	Better computer facilities	NA	NA	Administrative flexibility during lockdowns	NA	NA
